AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Error,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190622_121000.WAV,GRABADOR-SDZG-AM-1,20190622_121000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,22.06.2019 12:10,60.00046875,nan,Recorded at 12:10:00 22/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.2V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:39:40-08:00,WAV,WAV,audio/x-wav,12
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190628_134000.WAV,GRABADOR-SDZG-AM-1,20190628_134000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,28.06.2019 13:40,60.00046875,nan,Recorded at 13:40:00 28/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:07:08-08:00,WAV,WAV,audio/x-wav,13
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190620_143000.WAV,GRABADOR-SDZG-AM-1,20190620_143000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,20.06.2019 14:30,60.00046875,nan,Recorded at 14:30:00 20/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:31:07-08:00,WAV,WAV,audio/x-wav,14
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190703_152000.WAV,GRABADOR-SDZG-AM-1,20190703_152000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,03.07.2019 15:20,60.00046875,nan,Recorded at 15:20:00 03/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.7V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:30:08-08:00,WAV,WAV,audio/x-wav,15
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190621_161000.WAV,GRABADOR-SDZG-AM-1,20190621_161000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,21.06.2019 16:10,60.00046875,nan,Recorded at 16:10:00 21/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:35:55-08:00,WAV,WAV,audio/x-wav,16
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190626_175000.WAV,GRABADOR-SDZG-AM-1,20190626_175000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,26.06.2019 17:50,60.00046875,nan,Recorded at 17:50:00 26/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:58:53-08:00,WAV,WAV,audio/x-wav,17
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190629_184000.WAV,GRABADOR-SDZG-AM-1,20190629_184000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,29.06.2019 18:40,60.00046875,nan,Recorded at 18:40:00 29/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:12:36-08:00,WAV,WAV,audio/x-wav,18
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190703_190000.WAV,GRABADOR-SDZG-AM-1,20190703_190000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,03.07.2019 19:00,60.00046875,nan,Recorded at 19:00:00 03/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.8V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:30:50-08:00,WAV,WAV,audio/x-wav,19
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190702_200000.WAV,GRABADOR-SDZG-AM-1,20190702_200000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,02.07.2019 20:00,60.00046875,nan,Recorded at 20:00:00 02/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.8V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:26:28-08:00,WAV,WAV,audio/x-wav,20
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190703_210000.WAV,GRABADOR-SDZG-AM-1,20190703_210000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,03.07.2019 21:00,60.00046875,nan,Recorded at 21:00:00 03/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.7V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:31:13-08:00,WAV,WAV,audio/x-wav,21
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190618_222000.WAV,GRABADOR-SDZG-AM-1,20190618_222000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,18.06.2019 22:20,60.00046875,nan,Recorded at 22:20:00 18/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:23:31-08:00,WAV,WAV,audio/x-wav,22
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190624_235000.WAV,GRABADOR-SDZG-AM-1,20190624_235000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,24.06.2019 23:50,60.00046875,nan,Recorded at 23:50:00 24/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:50:57-08:00,WAV,WAV,audio/x-wav,23
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190621_001000.WAV,GRABADOR-SDZG-AM-11,20190621_001000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,21.06.2019 00:10,60.00046875,nan,Recorded at 00:10:00 21/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 4.2V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 09:54:04-08:00,WAV,WAV,audio/x-wav,00
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190615_011000.WAV,GRABADOR-SDZG-AM-11,20190615_011000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,15.06.2019 01:10,60.00046875,nan,Recorded at 01:10:00 15/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 4.4V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 08:40:16-08:00,WAV,WAV,audio/x-wav,01
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190616_024000.WAV,GRABADOR-SDZG-AM-11,20190616_024000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,16.06.2019 02:40,60.00046875,nan,Recorded at 02:40:00 16/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 4.4V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 08:53:25-08:00,WAV,WAV,audio/x-wav,02
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190613_030000.WAV,GRABADOR-SDZG-AM-11,20190613_030000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,13.06.2019 03:00,60.00046875,nan,Recorded at 03:00:00 13/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 4.5V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 08:16:28-08:00,WAV,WAV,audio/x-wav,03
